
==================================================
Resumen de: analisis_datos/datos_fase1
==================================================
                        Especie  audios_json  archivos_embeddings  segmentos_embeddings
         Selenidera spectabilis            1                    1                    29
         Semnornis ramphastinus           15                    1                   172
               Sipia berlepschi            7                    1                   136
               Sipia nigricauda            3                    1                    20
                 Sipia palliata           49                    1                   691
      Sittasomus griseicapillus            6                    1                    40
             Spatula cyanoptera            2                    1                     6
                Spatula discors           13                    1                    28
              Spizaetus isidori            9                    1                    71
              Spizaetus ornatus            7                    1                   121
             Spizaetus tyrannus           13                    1                   138
          Steatornis caripensis           17                    1                   561
           Streptoprocne rutila            2                    1                    19
          Streptoprocne zonaris           13                    1                    82
               Strix albitarsis           22                    1                   382
             Strix nigrolineata            7                    1                   244
                  Strix virgata           45                    1                   907
           Synallaxis albescens           92                    1                  1177
         Synallaxis albigularis            8                    1                   101
              Synallaxis azarae          131                    1                  1979
           Synallaxis brachyura           28                    1                   296
              Synallaxis candei           17                    1                   233
          Synallaxis cinnamomea           29                    1                   296
           Synallaxis fuscorufa           33                    1                   423
          Synallaxis gujanensis            9                    1                   163
              Synallaxis moesta            4                    1                    38
            Synallaxis rutilans           15                    1                   356
           Synallaxis subpudica           37                    1                   220
             Synallaxis unirufa           51                    1                   869
           Syndactyla subalaris           27                    1                   585
             Syrigma sibilatrix            6                    1                    64
        Systellura longirostris           33                    1                   441
             Tachornis squamata            7                    1                    51
          Tachybaptus dominicus            8                    1                    68
        Talaphorus chlorocercus            2                    1                    29
                  Tapera naevia           34                    1                   405
                   Taraba major           24                    1                   358
           Thalurania colombica            7                    1                    58
             Thalurania furcata            8                    1                    56
          Thamnistes anabatinus            8                    1                    88
         Thamnomanes ardesiacus           14                    1                   153
            Thamnomanes caesius           18                    1                   316
          Thamnophilus aethiops           15                    1                   397
        Thamnophilus amazonicus           49                    1                   705
         Thamnophilus atrinucha           44                    1                   644
      Thamnophilus cryptoleucus            2                    1                    33
          Thamnophilus doliatus           28                    1                   315
       Thamnophilus melanonotus           14                    1                    91
     Thamnophilus multistriatus           82                    1                   851
           Thamnophilus murinus           29                    1                   364
         Thamnophilus nigriceps            9                    1                   101
     Thamnophilus nigrocinereus           14                    1                   151
         Thamnophilus palliatus            7                    1                   151
           Thamnophilus praecox            4                    1                   109
         Thamnophilus punctatus            5                    1                   148
       Thamnophilus schistaceus            5                    1                    58
    Thamnophilus tenuepunctatus            6                    1                    60
          Thamnophilus unicolor           46                    1                   925
     Thectocercus acuticaudatus            7                    1                   354
           Theristicus caudatus           16                    1                   116
              Threnetes ruckeri            2                    1                    22
       Thripadectes flammulatus           24                    1                   336
       Thripadectes holostictus           24                    1                   307
         Thripadectes ignobilis           13                    1                   277
    Thripadectes melanorhynchus           11                    1                   128
       Thripadectes virgaticeps           35                    1                   516
           Thripophaga cherriei           16                    1                   335
            Tigrisoma mexicanum            1                    1                    21
               Tinamus guttatus            5                    1                    24
                  Tinamus major            4                    1                    64
                Tinamus osgoodi            3                    1                    40
                    Tinamus tao            3                    1                    84
                    Topaza pyra            8                    1                   117
            Touit dilectissimus            1                    1                    15
                   Touit huetii            3                    1                    58
             Touit stictopterus            1                    1                     9
                Tringa flavipes            3                    1                    45
             Tringa melanoleuca            8                    1                    37
             Tringa semipalmata            1                    1                     6
               Tringa solitaria            6                    1                    53
               Trogon caligatus            5                    1                    58
               Trogon chionurus           19                    1                   247
                Trogon collaris           33                    1                   463
                 Trogon curucui            9                    1                   101
               Trogon melanurus           22                    1                   462
              Trogon personatus           54                    1                  1097
              Trogon ramonianus            4                    1                   101
                   Trogon rufus           10                    1                   148
               Trogon violaceus           12                    1                   176
                 Trogon viridis           56                    1                  1036
                   Tyto furcata            8                    1                    97
            Uranomitra franciae           26                    1                   473
              Urochroa bougueri            2                    1                    33
               Urochroa leucura            1                    1                     5
                 Uropsalis lyra            2                    1                    28
             Vanellus chilensis           73                    1                   700
           Vanellus resplendens            1                    1                     6
            Veniliornis affinis            3                    1                    24
             Veniliornis dignus            1                    1                    27
             Veniliornis kirkii            9                    1                    53
       Willisornis poecilinotus           20                    1                   397
            Xenerpestes minlosi            1                    1                     5
                 Xenops minutus            7                    1                   119
                Xenops rutilans           14                    1                   128
            Xenops tenuirostris            1                    1                     4
Xiphocolaptes promeropirhynchus           38                    1                   379
          Xiphorhynchus elegans            1                    1                     7
    Xiphorhynchus erythropygius            7                    1                    77
         Xiphorhynchus guttatus           10                    1                   195
      Xiphorhynchus lachrymosus            1                    1                     5
        Xiphorhynchus obsoletus           11                    1                   219
        Xiphorhynchus susurrans           44                    1                   839
     Xiphorhynchus triangularis            1                    1                     6
               Zenaida asiatica            1                    1                     3
             Zenaida auriculata            6                    1                    63
              Zentrygon frenata            8                    1                   108
             Zentrygon linearis           18                    1                   252

[TOTALES]
Total especies:                695
Total audios:                  9654
Total archivos embeddings:     695
Total segmentos (embeddings):  144079

