
==================================================
Resumen de: analisis_datos/datos_fase1
==================================================
                        Especie  audios_json  archivos_embeddings  segmentos_embeddings
           Heliodoxa rubinoides           10                   10                   151
               Heliornis fulica            1                    1                     4
             Heliothryx auritus            1                    1                     7
             Hellmayrea gularis           28                   28                   516
       Herpetotheres cachinnans           35                   35                   851
        Herpsilochmus axillaris           12                   12                    75
   Herpsilochmus dorsimaculatus           52                   52                   651
          Herpsilochmus dugandi            1                    1                    30
           Herpsilochmus frater           11                   11                   180
           Himantopus mexicanus            7                    7                    54
          Hoploxypterus cayanus            4                    4                    35
        Hydropsalis cayennensis            3                    3                    25
       Hydropsalis climacocerca            8                    8                   117
       Hydropsalis maculicaudus            6                    6                   143
       Hylexetastes stresemanni            1                    1                    21
          Hylocharis sapphirina            1                    1                    14
          Hylophylax naevioides            2                    2                    49
             Hylophylax naevius           24                   24                   826
         Hylophylax punctulatus           10                   10                   109
             Hypnelus bicinctus           12                   12                   155
            Hypnelus ruficollis            6                    6                    54
            Hypocnemis cantator           25                   25                   565
          Hypocnemis flavescens           30                   30                   688
          Hypocnemis hypoxantha            7                    7                   105
           Hypocnemis peruviana            6                    6                    98
      Hypocnemoides melanopogon           41                   41                   691
             Ibycter americanus           36                   36                   633
                Ictinia plumbea            1                    1                     4
              Isleria hauxwelli            3                    3                    91
              Ixobrychus exilis            3                    3                    17
              Jacamerops aureus           19                   19                   489
                  Jacana jacana           16                   16                   175
                  Klais guimeti            2                    2                    51
          Lafresnaya lafresnayi            3                    3                    23
         Laterallus albigularis           23                   23                   250
              Laterallus exilis            5                    5                    40
        Laterallus melanophaius            2                    2                    49
          Lepidocolaptes duidae            2                    2                    15
      Lepidocolaptes lacrymiger           17                   17                   167
      Lepidocolaptes souleyetii           11                   11                    76
         Leptasthenura andicola           13                   13                   108
            Leptodon cayanensis            8                    8                   155
         Leptosittaca branickii           53                   53                  1105
             Leptotila cassinii            3                    3                    69
             Leptotila conoveri           19                   19                   264
          Leptotila plumbeiceps            8                    8                   140
            Leptotila rufaxilla           23                   23                   707
            Leptotila verreauxi           36                   36                   602
                    Lesbia nuna            3                    3                     8
               Lesbia victoriae            5                    5                    24
               Leucippus fallax            2                    2                    15
       Leuconotopicus fumigatus           15                   15                   226
          Leucopternis melanops            3                    3                    39
              Lochmias nematura            3                    3                    38
            Lophostrix cristata            6                    6                   106
          Lurocalis rufiventris            6                    6                   151
        Lurocalis semitorquatus            1                    1                     1
       Malacoptila fulvogularis            5                    5                   118
         Malacoptila mystacalis           30                   30                   364
         Malacoptila panamensis            2                    2                     9
          Margarornis squamiger            8                    8                   120
          Margarornis stellatus            6                    6                    46
            Megaceryle torquata           19                   19                   248
          Megascops albogularis           17                   17                   211
            Megascops centralis            8                    8                   119
              Megascops choliba           61                   61                   894
              Megascops clarkii            1                    1                     6
               Megascops gilesi           25                   25                   481
               Megascops ingens           17                   17                   309
            Megascops petersoni            2                    2                    29
             Megascops roraimae            6                    6                   285
             Megascops watsonii            7                    7                   167
       Megastictus margaritatus           18                   18                   477
          Melanerpes cruentatus           12                   12                   137
        Melanerpes formicivorus           22                   22                   306
           Melanerpes pucherani            2                    2                    18
             Melanerpes pulcher            6                    6                    43
       Melanerpes rubricapillus           35                   35                   306
        Melopsittacus undulatus            3                    3                    19
              Merganetta armata            2                    2                    14
      Mesembrinibis cayennensis           16                   16                   210
             Metallura iracunda            7                    5                    40
          Metallura tyrianthina           83                   83                  1375
             Metallura williami            1                    1                     5
         Metopothrix aurantiaca            3                    3                    12
             Micrastur buckleyi            1                    1                    26
          Micrastur gilvicollis            8                    8                   169
          Micrastur mirandollei            2                    2                    49
             Micrastur plumbeus            3                    3                    25
           Micrastur ruficollis           32                   32                   978
        Micrastur semitorquatus           14                   14                   385
        Micromonacha lanceolata            6                    6                    32
         Microrhopias quixensis            7                    7                    86
             Milvago chimachima           67                   67                   689
               Milvago chimango            1                    1                    37
                   Mitu salvini            8                    8                   391
                Mitu tomentosum           12                   12                   616
          Momotus aequatorialis           36                   36                   600
